%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 35961.92281984363, 36141.85436270885, -11318.09637762265, 1903.005171180388, 6111.413968970057, 6341.726343837541, -5840.510826171735, 12185.656986910939, 561.3864137394922, -93750.01117587223, -1274.8988002418043, -17892.48202949548, -93750.01117587223, -2156.7868777259446, -3259.286672983965, -93750.01117587223, -0.002, 0.492, 0.106, 192.0, 127.5, 120.0, 7.5, 48.0, 1.5, 40.0, 0.0, 0.0, 0.0, 1.7076809619295156E9, 0.0, 2024-02-11 14:49:21.929
2.0, 35987.58262247832, 36146.145897644274, -11319.035150889773, 1903.6310200251366, 6111.101044547683, 6338.239471702514, -5851.552587932657, 12216.70355995936, 1122.0575716564144, -187500.02235174447, -2546.8918737044187, -35787.62391658115, -187500.02235174447, -4312.813796140408, -6487.2809037305005, -187500.02235174447, -0.002, 0.492, 0.106, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809642935123E9, 0.0, 2024-02-11 14:49:24.293
4.0, 36502.343297284046, 36593.58311815061, -11161.410648990948, 2109.200013780596, 6383.8593821357945, 6735.564081140052, -5647.615271522435, 12678.423545172638, 1088.59701020682, -187500.02235174447, -2553.619748785466, -35796.117579474165, -187500.02235174447, -4319.0722845878945, -6521.09909309138, -187500.02235174447, -0.002, 0.492, 0.106, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809643094852E9, 0.0, 2024-02-11 14:49:24.309
4.0, 36421.92172073385, 36643.002825141295, -11126.29605845166, 2123.9968686100087, 6430.03808618046, 6778.255913049688, -5659.975786206221, 12412.97422802141, 1088.59701020682, -187500.02235174447, -2553.619748785466, -35796.117579474165, -187500.02235174447, -4319.0722845878945, -6521.09909309138, -187500.02235174447, -0.003, 0.722, 0.17, 192.0, 127.5, 112.0, 14.5, 96.0, 3.5, 40.0, 0.0, 0.0, 0.0, 1.707680964325548E9, 0.0, 2024-02-11 14:49:24.325
4.0, 36491.18977680085, 36597.271155985734, -11165.053983337162, 2096.928906074632, 6379.299626266912, 6733.597127627984, -5636.126474872408, 12680.658719618168, 1088.59701020682, -187500.02235174447, -2553.619748785466, -35796.117579474165, -187500.02235174447, -4319.0722845878945, -6521.09909309138, -187500.02235174447, -0.0035, 0.847, 0.196, 192.0, 191.25, 168.0, 22.25, 96.0, 4.75, 140.0, 0.0, 0.0, 0.0, 1.707680964348591E9, 0.0, 2024-02-11 14:49:24.348
56.0, 36411.41640083986, 36637.37018553855, -11141.49524468127, 2112.351609748794, 6416.60468776282, 6768.398793744897, -5639.300422585061, 12415.902306545056, 1442.603938889973, -187500.02235174447, -2315.305449402982, -35776.91743098706, -187500.02235174447, -4230.246452122504, -6375.231608776046, -187500.02235174447, -0.0035, 0.847, 0.196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809644116464E9, 0.0, 2024-02-11 14:49:24.411
58.0, 36471.36377946899, 36614.10201956058, -11160.49422746828, 2100.08050204283, 6393.180059573658, 6750.226825502733, -5675.018510224642, 12667.024155500432, 1467.7943548911041, -187500.02235174447, -2304.1295771753284, -35761.293561612794, -187500.02235174447, -4214.510824025968, -6334.149102467192, -187500.02235174447, -0.0035, 0.847, 0.196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809648762336E9, 0.0, 2024-02-11 14:49:24.876
58.0, 36440.183095953835, 36634.889141904016, -11130.431131175892, 2127.282575044939, 6421.0079814205155, 6766.230674532732, -5640.283899341095, 12465.500827491383, 1467.7943548911041, -187500.02235174447, -2304.1295771753284, -35761.293561612794, -187500.02235174447, -4214.510824025968, -6334.149102467192, -187500.02235174447, -0.0035, 0.847, 0.196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707680965148486E9, 0.0, 2024-02-11 14:49:25.148
58.0, 36419.64184279941, 36658.15730788199, -11126.184299729384, 2124.510958732481, 6428.160539646214, 6779.552314228095, -5650.342184345983, 12447.619431927138, 1467.7943548911041, -187500.02235174447, -2304.1295771753284, -35761.293561612794, -187500.02235174447, -4214.510824025968, -6334.149102467192, -187500.02235174447, -0.0035, 0.847, 0.196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809652396288E9, 0.0, 2024-02-11 14:49:25.239
58.0, 36376.27945855611, 36480.4609394623, -11195.586466263112, 2022.9669836720211, 6319.9333929936165, 6667.123039617902, -5695.827984312533, 12710.699464166102, 1467.7943548911041, -187500.02235174447, -2304.1295771753284, -35761.293561612794, -187500.02235174447, -4214.510824025968, -6334.149102467192, -187500.02235174447, -0.00475, 0.9055, 0.21400000000000002, 192.0, 127.5, 104.0, 15.0, 16.0, 3.5, 32.0, 0.0, 0.0, 0.0, 1.7076809652396507E9, 0.0, 2024-02-11 14:49:25.239
58.0, 36143.7319092431, 36212.75409612108, -11288.212095285904, 1879.1782115910307, 6175.921103468073, 6516.204061055668, -5771.7121567383, 12470.798190927291, 1467.7943548911041, -187500.02235174447, -2304.1295771753284, -35761.293561612794, -187500.02235174447, -4214.510824025968, -6334.149102467192, -187500.02235174447, -0.00475, 0.9055, 0.21400000000000002, 192.0, 63.75, 52.0, 7.5, 8.0, 1.75, 16.0, 0.0, 0.0, 0.0, 1.7076809652396595E9, 0.0, 2024-02-11 14:49:25.239
58.0, 36159.981627462104, 36218.27497700155, -11262.775810095765, 1903.586316536226, 6185.532353583855, 6520.830872157917, -5751.819104173077, 12505.71161576648, 1467.7943548911041, -187500.02235174447, -2304.1295771753284, -35761.293561612794, -187500.02235174447, -4214.510824025968, -6334.149102467192, -187500.02235174447, -0.00475, 0.9055, 0.21400000000000002, 192.0, 31.875, 26.0, 3.75, 4.0, 0.875, 8.0, 0.0, 0.0, 0.0, 1.7076809652396672E9, 0.0, 2024-02-11 14:49:25.239
254.0, 36418.12192417645, 36453.54943913811, -11200.123870387539, 2017.7590272139344, 6305.605924797765, 6654.494304000653, -5721.554842180592, 12743.668287237679, 1361.869437917404, -187500.02235174447, -2325.341382663415, -35872.024103644384, -187500.02235174447, -4295.491194187545, -6365.173323771158, -187500.02235174447, -0.00475, 0.9055, 0.21400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809652396772E9, 0.0, 2024-02-11 14:49:25.239
254.0, 36138.50160104056, 36230.76960215207, -11272.878798589563, 1890.1529181185865, 6193.735443798953, 6539.025192144536, -5739.27977553365, 12515.166403671075, 1361.869437917404, -187500.02235174447, -2325.341382663415, -35872.024103644384, -187500.02235174447, -4295.491194187545, -6365.173323771158, -187500.02235174447, -0.00475, 0.9055, 0.21400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809652396843E9, 0.0, 2024-02-11 14:49:25.239
254.0, 36240.805535412495, 36261.83852694494, -11247.263699443782, 1936.8680640301782, 6231.487540183966, 6558.135933653824, -5713.731731621234, 12838.30557326145, 1361.869437917404, -187500.02235174447, -2325.341382663415, -35872.024103644384, -187500.02235174447, -4295.491194187545, -6365.173323771158, -187500.02235174447, -0.00475, 0.9055, 0.21400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809652396915E9, 0.0, 2024-02-11 14:49:25.239
